Medida,CodMedida,Grupo,CodGrupo,Consumo,Territorio,Año
Energía eléctrica,1,Disponible para consumo final,1,7444297.57,Canarias,2021
Energía eléctrica,1,Diferencias estadísticas,2,124432.1,Canarias,2021
Energía eléctrica,1,Consumo final,3,7319865.47,Canarias,2021
Energía eléctrica,1,Sector de la energía. excepto consumos en generación,4,15485.45,Canarias,2021
Energía eléctrica,1,Sector industrial,5,486211.97,Canarias,2021
Energía eléctrica,1,Sector del transporte,6,17743.22,Canarias,2021
Energía eléctrica,1,Hostelería,7,932644.06,Canarias,2021
Energía eléctrica,1,Comercio y servicios públicos. excepto hostelería,8,2707728.59,Canarias,2021
Energía eléctrica,1,Hogares,9,2733397.49,Canarias,2021
Energía eléctrica,1,Agricultura. silvicultura y pesca,10,172662.55,Canarias,2021
Energía eléctrica,1,No especificado en otras categorías - Otros,11,253992.14,Canarias,2021
Número de clientes (CUPS),2,Disponible para consumo final,1,1217287,Canarias,2021
Número de clientes (CUPS),2,Diferencias estadísticas,2,69987,Canarias,2021
Número de clientes (CUPS),2,Consumo final,3,1147300,Canarias,2021
Número de clientes (CUPS),2,Sector de la energía. excepto consumos en generación,4,349,Canarias,2021
Número de clientes (CUPS),2,Sector industrial,5,21711,Canarias,2021
Número de clientes (CUPS),2,Sector del transporte,6,439,Canarias,2021
Número de clientes (CUPS),2,Hostelería,7,39612,Canarias,2021
Número de clientes (CUPS),2,Comercio y servicios públicos. excepto hostelería,8,105789,Canarias,2021
Número de clientes (CUPS),2,Hogares,9,948933,Canarias,2021
Número de clientes (CUPS),2,Agricultura. silvicultura y pesca,10,13156,Canarias,2021
Número de clientes (CUPS),2,No especificado en otras categorías - Otros,11,17311,Canarias,2021
Energía eléctrica,1,Disponible para consumo final,1,7433962.07,Canarias,2020
Energía eléctrica,1,Diferencias estadísticas,2,86011.68,Canarias,2020
Energía eléctrica,1,Consumo final,3,7347950.39,Canarias,2020
Energía eléctrica,1,Sector de la energía. excepto consumos en generación,4,16246.49,Canarias,2020
Energía eléctrica,1,Sector industrial,5,506483.85,Canarias,2020
Energía eléctrica,1,Sector del transporte,6,30884.93,Canarias,2020
